iter	Passed	Remaining
402	12204	9236
403	12208	9186
404	12211	9136
405	12214	9085
406	12232	9046
407	12316	9055
408	12318	9005
409	12337	8967
410	12348	8923
411	12435	8934
412	12442	8887
413	12444	8837
414	12452	8791
415	12455	8742
416	12459	8694
417	12461	8645
418	12551	8657
419	12639	8666
420	12641	8617
421	12643	8569
422	12645	8520
423	12736	8530
424	12817	8535
425	12822	8488
426	12825	8440
427	12827	8391
428	12829	8343
429	12836	8298
430	12838	8251
431	12840	8203
432	12920	8205
433	12930	8163
434	12939	8120
435	12956	8082
436	13033	8082
437	13114	8084
438	13121	8040
439	13126	7995
440	13207	7996
441	13214	7952
442	13293	7952
443	13295	7905
444	13305	7863
445	13322	7826
446	13326	7781
447	13405	7780
448	13407	7734
449	13426	7697
450	13428	7652
451	13434	7608
452	13437	7564
453	13441	7519
454	13443	7475
455	13447	7431
456	13483	7405
457	13485	7361
458	13488	7317
459	13563	7312
460	13569	7270
461	13647	7267
462	13650	7223
463	13653	7179
464	13654	7135
465	13658	7093
466	13659	7049
467	13664	7007
468	13665	6964
469	13667	6921
470	13669	6878
471	13675	6837
472	13677	6795
473	13682	6754
474	13717	6729
475	13796	6724
476	13806	6686
477	13887	6682
478	13889	6640
479	13899	6602
480	13918	6568
481	13996	6562
482	14076	6557
483	14078	6515
484	14157	6509
485	14159	6467
486	14162	6426
487	14164	6385
488	14166	6344
489	14168	6303
490	14185	6269
491	14262	6261
492	14265	6221
493	14344	6213
494	14383	6189
495	14463	6181
496	14465	6141
497	14471	6102
498	14473	6062
499	14475	6021
500	14479	5982
501	14518	5957
502	14519	5917
503	14522	5878
504	14604	5870
505	14607	5831
506	14610	5792
507	14620	5756
508	14626	5718
509	14632	5680
510	14635	5642
511	14653	5609
512	14654	5570
513	14735	5561
514	14745	5526
515	14755	5490
516	14836	5481
517	14847	5446
518	14851	5408
519	14852	5369
520	14854	5331
521	14856	5293
522	14946	5286
523	14951	5250
524	15038	5241
525	15040	5204
526	15044	5167
527	15046	5129
528	15128	5119
529	15133	5082
530	15218	5072
531	15302	5062
532	15322	5030
533	15363	5005
534	15365	4968
535	15368	4931
536	15380	4897
537	15382	4860
538	15384	4823
539	15387	4787
540	15389	4750
541	15474	4739
542	15557	4727
543	15559	4690
544	15578	4659
545	15597	4627
546	15633	4601
547	15716	4588
548	15718	4552
549	15818	4544
550	15825	4509
551	15915	4497
552	15923	4463
553	16005	4449
554	16094	4436
555	16098	4401
556	16101	4364
557	16102	4328
558	16107	4293
559	16115	4259
560	16234	4253
561	16312	4237
562	16314	4201
563	16316	4165
564	16404	4151
565	16407	4116
566	16409	4080
567	16482	4062
568	16484	4026
569	16558	4008
