iter	Logloss
0	0.6931020789
1	0.6930091258
2	0.6929217095
3	0.6928377998
4	0.6927741584
5	0.6927142215
6	0.692644988
7	0.6925853351
8	0.692499835
9	0.6924274135
10	0.6923430458
11	0.6922871339
12	0.6922187565
13	0.6921483535
14	0.692085596
15	0.6920007875
16	0.691935186
17	0.6918575306
18	0.6917757948
19	0.6916964332
20	0.6916324317
21	0.6915697142
22	0.6914882328
23	0.6914245052
24	0.6913613244
25	0.6912866118
26	0.6912233986
27	0.691143413
28	0.6910737021
29	0.6909900088
30	0.6909226764
31	0.6908308416
32	0.6907661517
33	0.6907029718
34	0.6906280175
35	0.6905388562
36	0.690465863
37	0.6904058468
38	0.6903422879
39	0.6902552168
40	0.6901709082
41	0.6900907721
42	0.6900275062
43	0.6899695075
44	0.6899029991
45	0.689827996
46	0.6897537158
47	0.6896828712
48	0.6896001867
49	0.6895301689
50	0.6894674687
51	0.6894141852
52	0.6893361982
53	0.6892718291
54	0.6892023601
55	0.689134218
56	0.6890756358
57	0.6890135091
58	0.6889282748
59	0.6888642724
60	0.6887757254
61	0.6886922149
62	0.6886224841
63	0.6885568218
64	0.688485116
65	0.6884177405
66	0.6883388902
67	0.6882684663
68	0.6881890393
69	0.6881222077
70	0.6880495528
71	0.6879935939
72	0.687929543
73	0.6878490884
74	0.6877538669
75	0.6876811626
76	0.6876264487
77	0.6875697302
78	0.6875065376
79	0.6874406495
80	0.6873706003
81	0.6872826886
82	0.6872226254
83	0.6871504976
84	0.6870855853
85	0.6870193425
86	0.6869561916
87	0.6868867235
88	0.6868210371
89	0.6867597468
90	0.686679558
91	0.6866069185
92	0.6865389711
93	0.6864728351
94	0.6864149677
95	0.6863303145
96	0.6862437793
97	0.6861630914
98	0.6860979537
99	0.6860314479
100	0.685954705
101	0.685895886
102	0.6858372297
103	0.6857680848
104	0.6856999063
105	0.6856400997
106	0.6855819196
107	0.6855046798
108	0.6854459169
109	0.6853916128
110	0.6853217606
111	0.6852593789
112	0.6851878339
113	0.6851013954
114	0.6850463433
115	0.6849716004
116	0.6849099609
117	0.6848347966
118	0.6847720618
119	0.6847014277
120	0.6846395883
121	0.6845646327
122	0.684495837
123	0.6844203681
124	0.6843414169
125	0.684276561
126	0.6842105655
127	0.6841439499
128	0.6840706915
129	0.6839935766
130	0.6839310305
131	0.6838684243
132	0.6838064088
133	0.6837228298
134	0.6836592816
135	0.6835984646
136	0.6835171483
137	0.683451542
138	0.6833769802
139	0.6833152115
140	0.6832483719
141	0.6831695824
142	0.6830971555
143	0.683034164
144	0.6829803156
145	0.6829143642
146	0.6828477804
147	0.6827873178
148	0.6827179224
149	0.6826405899
150	0.6825833312
151	0.6825044514
152	0.6824369025
153	0.6823730421
154	0.6823006806
155	0.6822299894
156	0.6821715255
157	0.6820984691
158	0.682018408
159	0.681947686
160	0.6818706955
161	0.6818025053
162	0.6817354701
163	0.6816701596
164	0.6816081053
165	0.68153715
166	0.6814629595
167	0.6814052
168	0.6813406085
169	0.6812730986
170	0.6812122812
171	0.6811392934
172	0.6810690057
173	0.6810108859
174	0.6809288484
175	0.6808689414
176	0.6808035334
177	0.6807372934
178	0.6806547416
179	0.6805829294
180	0.6805116061
181	0.6804467271
182	0.6803644521
183	0.6802791992
184	0.6801918808
185	0.6801285834
186	0.6800426701
187	0.6799844052
188	0.6799244131
189	0.6798442065
190	0.6797779672
191	0.6797131698
192	0.6796343678
193	0.6795637147
194	0.6794854236
195	0.6793953056
196	0.6793232446
197	0.6792392747
198	0.6791696695
199	0.679097851
200	0.6790412727
201	0.6789632318
202	0.6788934173
203	0.6788171665
204	0.6787486047
205	0.6786880343
206	0.678628591
207	0.6785627691
208	0.6785054077
209	0.6784263504
210	0.6783705366
211	0.6782962498
212	0.678238042
213	0.6781619667
214	0.6781059839
215	0.6780454799
216	0.6779887822
217	0.6779149125
218	0.6778504467
219	0.6777814349
220	0.6777186345
221	0.6776563933
222	0.6775921835
223	0.677526599
224	0.6774743903
225	0.6774218246
226	0.6773482538
227	0.6772834143
228	0.6772199191
229	0.6771532651
230	0.6770836262
231	0.677014596
232	0.6769485094
233	0.6768828439
234	0.676812641
235	0.6767515577
236	0.6766887081
237	0.6766171269
238	0.6765571062
239	0.6764827483
240	0.6764096073
241	0.6763229209
242	0.6762509682
243	0.676190237
244	0.6761201394
245	0.6760606168
246	0.6759744807
247	0.6758920547
248	0.6758123873
249	0.6757591502
250	0.675680273
251	0.6756214832
252	0.6755428884
253	0.6754682264
254	0.6754025435
255	0.675338122
256	0.6752766436
257	0.6752053392
258	0.6751423644
259	0.6750808206
260	0.6750223796
261	0.6749656122
262	0.6749095913
263	0.674845462
264	0.6747827332
265	0.6746946766
266	0.6746246566
267	0.6745642308
268	0.674500684
269	0.6744365447
270	0.6743774974
271	0.6743107778
272	0.67424248
273	0.6741797218
274	0.6741158973
275	0.6740490219
276	0.6739805188
277	0.6739070887
278	0.673846103
279	0.6737846882
280	0.6737214249
281	0.6736484588
282	0.6735878767
283	0.6735272465
284	0.673476604
285	0.6734103633
286	0.6733509651
287	0.6732621493
288	0.6731963231
289	0.6731301259
290	0.673075621
291	0.6730028221
292	0.6729373449
293	0.6728779264
294	0.6728170739
295	0.672736045
296	0.672664677
297	0.6725999162
298	0.6725310719
299	0.6724713819
300	0.6723981935
301	0.6723429232
302	0.6722787139
303	0.6722004393
304	0.672138596
305	0.672072161
306	0.6719979948
307	0.671926814
308	0.6718441292
309	0.6717802005
310	0.6716894483
311	0.6716385958
312	0.6715670115
313	0.6714982323
314	0.6714385969
315	0.6713875827
316	0.6713166413
317	0.6712582974
318	0.6711961046
319	0.6711438697
320	0.6710733217
321	0.6709991057
322	0.670931436
323	0.6708687328
324	0.670805947
325	0.6707480366
326	0.6706937096
327	0.6706277319
328	0.6705772784
329	0.6705049844
330	0.6704289883
331	0.6703713221
332	0.6703119345
333	0.6702412416
334	0.6701858702
335	0.670121077
336	0.6700633167
337	0.6699915232
338	0.6699360243
339	0.6698749724
340	0.6697906209
341	0.6697310663
342	0.6696679753
343	0.6695997588
344	0.6695415554
345	0.6694697337
346	0.6694046592
347	0.6693388013
348	0.6692741679
349	0.6692052337
350	0.6691541844
351	0.6690960667
352	0.6690321586
353	0.6689614008
354	0.6688956501
355	0.6688284523
356	0.6687473702
357	0.6686831505
358	0.6686249608
359	0.6685605468
360	0.6684859874
361	0.6684212078
362	0.668344014
363	0.6682935581
364	0.6682148601
365	0.6681403136
366	0.668061789
367	0.6679929692
368	0.6679348903
369	0.6678717999
370	0.6678174007
371	0.6677400896
372	0.6676783432
373	0.6676119349
374	0.6675550684
375	0.6674858551
376	0.6674116157
377	0.6673516953
378	0.6672770133
379	0.66720938
380	0.6671521745
381	0.6670869664
382	0.6670337424
383	0.6669658176
384	0.666901735
385	0.666836087
386	0.6667788105
387	0.6667164712
388	0.6666599623
389	0.6665951746
390	0.666545188
391	0.6664910546
392	0.6664358207
393	0.6663758007
394	0.66631176
395	0.6662446183
396	0.6661887699
397	0.6661173118
398	0.6660491623
399	0.6659772014
400	0.6659126912
401	0.6658478363
402	0.665781317
403	0.6657218423
404	0.6656614489
405	0.6656028557
406	0.665536929
407	0.6654521363
408	0.6654005908
409	0.6653334017
410	0.665266248
411	0.6651848313
412	0.6651239698
413	0.6650695218
414	0.6650108216
415	0.6649541394
416	0.6648932292
417	0.6648391167
418	0.6647713637
419	0.6647077427
420	0.6646535183
421	0.6646007529
422	0.6645497466
423	0.6644723141
424	0.6643885735
425	0.6643259988
426	0.6642647933
427	0.6642101539
428	0.664151098
429	0.6640895292
430	0.6640286086
431	0.6639718322
432	0.663902892
433	0.6638353075
434	0.6637738077
435	0.6637035794
436	0.6636310132
437	0.66355726
438	0.6634890245
439	0.6634278284
440	0.6633575976
441	0.6632960999
442	0.6632209662
443	0.663172714
444	0.663107699
445	0.6630462156
446	0.6629872784
447	0.6629188694
448	0.6628609857
449	0.6627967144
450	0.6627400838
451	0.662680646
452	0.6626228716
453	0.6625654358
454	0.6625027751
455	0.6624348283
456	0.6623724442
457	0.6623132366
458	0.6622552567
459	0.6621815626
460	0.6621213653
461	0.662057989
462	0.6619985959
463	0.661937047
464	0.6618818098
465	0.6618175079
466	0.6617696448
467	0.6617080684
468	0.6616575217
469	0.6616072196
470	0.6615523279
471	0.661488588
472	0.6614292303
473	0.661368017
474	0.6612969327
475	0.6612285919
476	0.6611711506
477	0.6611034868
478	0.6610508119
479	0.6609882052
480	0.6609249463
481	0.6608549164
482	0.6607707289
483	0.6607172768
484	0.6606412368
485	0.6605909255
486	0.6605290555
487	0.6604713788
488	0.6604161999
489	0.6603604265
490	0.6602901539
491	0.6602133936
492	0.6601553229
493	0.6600888913
494	0.6600221723
495	0.6599574116
496	0.6599060733
497	0.6598513474
498	0.6597993163
499	0.6597457911
500	0.6596899814
501	0.6596242104
502	0.6595691263
503	0.6595092212
504	0.6594407271
